"Product title","Product vendor","Product type","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"Chocolate Fragrance","essentialnaturaloils.com","Fragrance",5,174.97,0,0,174.97,14.07,189.04
"Styrax Benzoin Absolute","HBNO Bulk","Absolute",7,181.93,-10.98,0,170.95,13.92,184.87
"Allspice Essential Oil","HBNO inc","essential oil",1,180,0,0,180,0,180
"Organic Juniper Berry Essential Oil","HBNO inc","essential oil",3,180.9,-6,0,174.9,0,174.9
"Spanish Sage Essential Oil","essentialnaturaloils.com",,3,173,0,0,173,0,173
"1 oz (30 ml) Amber Glass Bottle (Boston)","essentialnaturaloils.com",,2,172.8,0,0,172.8,0,172.8
"Rectified Bergamot Essential Oil (Bergapten Free)","HBNO inc","essential oil",3,189,-16.5,0,172.5,0,172.5
"Tonka Bean Fragrance Oil","HBNO inc","Fragrance",13,175.16,-0.5,-5.2,169.46,2.04,171.5
"Organic Sage Officinalis Essential Oil","HBNO inc","essential oil",4,180,-8.99,0,171.01,0,171.01
"Lavandin Scent","essentialnaturaloils.com","Fragrance",3,154.99,-0.99,0,154,12.18,166.18
"Cherry Fragrance","HBNO inc","Fragrance",13,164.94,-0.5,0,164.44,1.6,166.04
"Palmarosa Natural Fragrance","essentialnaturaloils.com","Fragrance",2,165,-2.5,0,162.5,0,162.5
"Galaxolide","HBNO Bulk","Aromatic Chemical",5,153.97,0,0,153.97,7,160.97
"Lime Fragrance","essentialnaturaloils.com","Fragrance",3,150,0,0,150,10.64,160.64
"Valerian Chinese Essential Oil","essentialnaturaloils.com",,2,159.99,0,0,159.99,0,159.99
"Virgin Unrefined Black Seed Carrier Oil","HBNO inc","Carrier oil",3,157.63,0,0,157.63,2.32,159.95
"Grapefruit Distilled Essential Oil","essentialnaturaloils.com",,6,159.96,-1,0,158.96,0.6,159.56
"HBNO™ Angel Ayurvedic Hair Re-Grow","HBNO inc","essential oil",3,157.3,0,0,157.3,0,157.3
"Bergamot Essential Oil","HBNO inc","essential oil",3,162.98,-7.63,0,155.35,0.6,155.95
"Coconut Fragrance","HBNO inc","Fragrance",6,150,0,0,150,5.75,155.75
"Lemon Myrtle Fragrance Oil","essentialnaturaloils.com","Fragrance",2,145,0,0,145,10.15,155.15
"Galbanum Essential Oil","HBNO inc","Essential Oil",3,150,-9.64,0,140.36,12.11,152.47
"Organic Petitgrain Essential Oil","HBNO inc","essential oil",4,161.26,-1.66,-16.5,143.1,7.37,150.47
"Organic Laurel Leaf Essential Oil","HBNO inc","essential oil",4,155.66,0,-9.99,145.67,3.71,149.38
"Gardenia Fragrance","essentialnaturaloils.com","Fragrance",9,144.99,0,0,144.99,3.02,148.01
"Helichrysum Italicum Essential Oil","HBNO inc","essential oil",4,140.64,-3.49,0,137.15,8.81,145.96
"8 oz Amber Glass Bottle (Boston)","essentialnaturaloils.com",,3,144,-9.6,0,134.4,9.63,144.03
"Broccoli Seed Carrier Oil","HBNO inc","Carrier oil",4,130,-1,0,129,10.39,139.39
"Black Castor Oil","HBNO Bulk","Carrier Oil",7,137.97,0,0,137.97,0,137.97
"Organic White Spruce Essential Oil","HBNO inc","essential oil",11,132,-3.24,0,128.76,8.84,137.6
"Peppermint Fragrance","essentialnaturaloils.com","Fragrance",4,129.99,0,0,129.99,6.46,136.45
"Bitter Orange Essential Oil","HBNO inc","essential oil",3,135.22,0,0,135.22,0.65,135.87
"Yarrow Green Essential Oil","HBNO inc","essential oil",1,300,-15,-150,135,0,135
"Clove Bud Fragrance","essentialnaturaloils.com","Fragrance",5,124.99,0,0,124.99,7.44,132.43
"Celery Seed Essential Oil","HBNO inc","Essential Oil",7,135,-7,0,128,2.89,130.89
"HBNO™ Angel Dry Hair","HBNO inc","essential oil",2,126.76,0,0,126.76,2.92,129.68
"Pineapple Fragrance","HBNO inc","Fragrance",10,119.98,-0.5,0,119.48,5.23,124.71
