# ----------------------------------------,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
# Pages and screens: Page path and screen class,,,,,,,,
# Account: seo,,,,,,,,
# Property: HBNO.com,,,,,,,,
# ----------------------------------------,,,,,,,,
#,,,,,,,,
# All Users,,,,,,,,
# Start date: 20250201,,,,,,,,
# End date: 20251022,,,,,,,,
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Bounce rate,Event count,Key events,Total revenue
/blogs/news/everything-about-neroli-oil-and-how-to-use-it,55,42,1.3095238095238,32.1666666666666,0.5625,179,0,0
/blogs/news/how-to-make-cinnamon-oil-to-repel-mice-naturally,55,47,1.17021276595744,61.4893617021276,0.576923076923076,197,0,0
/blogs/news/how-to-use-castor-oil-for-nail-growth-for-a-stronger-nails,55,52,1.0576923076923,71.076923076923,0.464285714285714,209,0,0
/blogs/news/best-essential-oils-for-stinky-feet-that-work-fast,54,38,1.42105263157894,47.7894736842105,0.46938775510204,159,0,0
/blogs/news/organic-lemon-oil-for-wood-and-furniture,54,44,1.22727272727272,39.2272727272727,0.518518518518518,181,0,0
/blogs/news/benefits-of-clove-oil-for-teeth-brush-and-care-tips,52,44,1.18181818181818,72.25,0.509803921568627,194,0,0
/blogs/news/lavender-and-cedarwood-essential-oil-benefits-the-perfect-blend-for-relaxation,52,42,1.23809523809523,30.9285714285714,0.408163265306122,180,0,0
/checkouts/cn/Z2NwLXVzLXdlc3QxOjAxSlRHMkpWVDMwVDM1UUFHTTNFNzBGQk40/processing,51,1,51,92,0,140,0,0
/products/neroli-organic,51,44,1.1590909090909,24.1136363636363,0.411764705882352,196,0,0
/blogs/news/best-essential-oil-combinations-for-a-fresh-inviting-scent,50,38,1.31578947368421,34.6842105263157,0.333333333333333,164,0,0
/collections/carrier-oils/products/moringa-oil-organic,50,19,2.63157894736842,40.0526315789473,0.125,113,0,0
/products/jasmine-fragrance,50,39,1.28205128205128,20.4871794871794,0.25,173,0,0
/blogs/news/orange-oil-for-cooking-benefits-recipes-usage-tips,49,40,1.225,36.875,0.478260869565217,165,0,0
/pages/terms-conditions,49,43,1.13953488372093,47.1162790697674,0.208333333333333,120,0,0
/blogs/news/peppermint-oil-allergy-symptoms-relief-and-treatment,48,37,1.29729729729729,24.9189189189189,0.4,156,0,0
/products/sage-essential-oil-organic,48,37,1.29729729729729,30.1351351351351,0.302325581395348,174,0,0
/blogs/news/benefits-of-clove-oil-for-skin-rashes-itchiness-and-more,47,46,1.02173913043478,46.0869565217391,0.530612244897959,176,0,0
/blogs/news/safflower-oil-benefits-for-skin-hair-and-its-side-effects,47,45,1.04444444444444,5.2,0.847826086956521,166,0,0
/products/helichrysum-organic-glass,47,33,1.42424242424242,24.7272727272727,0.142857142857142,168,0,0
/products/organic-pumpkin-seed-oil-in-glass,47,33,1.42424242424242,45.5151515151515,0.351351351351351,172,0,0
/blogs/news/best-essential-oils-for-bug-bites-and-itch-relief-naturally,46,37,1.24324324324324,4.56756756756756,0.780487804878048,143,0,0
/blogs/news/how-castor-oil-helps-fight-ear-tooth-and-skin-infections-naturally,46,39,1.17948717948717,32.9230769230769,0.571428571428571,156,0,0
/blogs/news/is-citronella-oil-safe-for-dogs-what-you-need-to-know,46,43,1.06976744186046,28.2093023255813,0.608695652173913,161,0,0
/blogs/news/lemongrass-oil-for-dogs-uses-and-safety-tips,46,43,1.06976744186046,41.953488372093,0.511111111111111,165,0,0
/pages/compare,46,40,1.15,9.675,0.0697674418604651,111,0,0
/products/eucalyptus-fragrance,46,33,1.39393939393939,20.1212121212121,0.416666666666666,167,0,0
/blogs/news/lemon-juice-and-olive-oil-benefits-and-side-effects,45,41,1.09756097560975,45.2926829268292,0.5,153,0,0
/blogs/news/patchouli-oil-for-hair-benefits-growth-and-how-to-use-it,44,34,1.29411764705882,40.6470588235294,0.261904761904761,150,0,0
/collections/essential-oils/products/cedarwood-essential-oil,44,13,3.38461538461538,101,0,113,0,0
/products/bergamot-fragrance,44,37,1.18918918918918,16.7567567567567,0.2,163,0,0
